## Traced by TaniTracer at Sat Nov 11 17:35:47 2023 for 220830-E6_Out.czi
#   total_planes = 9; width = 512; height = 512
#   laplace = 1.800000; min_distance = 1; threshold_abs = 0.014000
#   max_diameter = 10.000000; dup_threshold = 3.000000
#   image_clip_min = 10000.000000; image_clip_max = 12924.857000
## Chased by TaniChaser at Sat Nov 11 17:35:47 2023
#   chase_distance = 3.000000
total_index	plane	index	x	y	diameter	intensity	fit_error	chi_square	distance	life_index	life_total
19	5	98	422.1780266016722	148.8975311666727	3.630279	11716	0.034661725	0.010572533	1.208843546426905	5	9
19	6	57	422.3883862197399	148.28573581576347	4.15341	11962	0.005483033	0.0017542437	0.6469503229056754	6	9
19	7	60	420.41081434488297	149.61479312181473	3.693654	11884	0.009764031	0.0030549276	2.382684167696895	7	9
19	8	39	421.5944082736969	149.56257951259613	3.7515302	11947	0.0052523166	0.0016904266	1.184745056673729	8	9
20	0	20	363.430986315012	247.63796663284302	3.5119882	13286	0.07154853	0.02555965	0.0	0	4
20	1	47	362.76874789595604	248.04351940751076	4.2182903	12855	0.082723394	0.027899832	0.7765518506284121	1	4
20	2	61	362.54632863402367	248.33619645237923	3.5935476	12876	0.017729273	0.0057970406	0.36760057218600944	2	4
20	3	10	362.2673184275627	247.27633473277092	3.929094	13839	0.0095069995	0.0035616516	1.0959715142285682	3	4
21	0	21	292.94264620542526	192.71824178099632	3.9096875	12740	0.050942127	0.018560564	0.0	0	5
21	1	239	292.6377680301666	193.03858215734363	3.9592924	12150	0.10940997	0.03308456	0.4422314535029907	1	5
21	2	73	293.38399478793144	193.18423859775066	4.2368755	12573	0.018324774	0.0061223092	0.760309261180106	2	5
21	3	317	293.0578652843833	192.7243001461029	3.9361365	12117	0.003705297	0.0011188939	0.5638296129050843	3	5
21	4	177	292.0522444061935	193.69605827331543	4.519499	11755	0.0701448	0.020537078	1.3984231149601403	4	5
22	0	22	131.2641625404358	236.46292075514793	4.343642	12896	0.050813723	0.018854015	0.0	0	9
22	1	31	131.82626096904278	235.51952323317528	3.8719099	12885	0.071114875	0.024768362	1.0981591541787523	1	9
22	2	27	131.62615936994553	235.78649081289768	3.5257962	12986	0.0017325908	0.000625064	0.3336350380042775	2	9
22	3	12	131.55646967887878	235.88142078369856	5.629752	13862	0.000118958604	4.5947418e-05	0.11776396901104012	3	9
22	4	83	129.463377982378	237.17314444482327	4.1891937	12219	0.0102840075	0.00320565	2.4595899793806937	4	9
22	5	336	129.38948035240173	235.99450036277995	4.7389193	11901	0.0084827915	0.0023251264	1.1809583954787952	5	9
22	6	54	128.65040722489357	235.39154395461082	5.200077	12266	0.002036725	0.0006709048	0.9538267756552576	6	9
22	7	141	128.80118533968925	235.08388727903366	3.9578989	11989	0.002614073	0.0008070941	0.34261738124113444	7	9
22	8	32	127.08847172558308	236.39283686876297	5.5824947	12322	0.023041364	0.007962629	2.1556291314595777	8	9
23	0	23	372.98197988420725	98.33416351675987	3.369027	12822	0.0061191567	0.0021114005	0.0	0	3
23	1	673	372.8303744494915	99.0481721162796	2.7347941	11814	0.0059176185	0.0014861965	0.7299263579454276	1	3
23	2	235	371.1695584952831	97.8026532381773	3.0351706	12324	0.109842695	0.03135364	2.0759640915637942	2	3
24	0	24	88.8599126636982	342.09631511569023	5.5921884	13276	0.007428549	0.0027882855	0.0	0	9
24	1	4	89.21862861514091	342.25020283460617	3.7589257	13674	0.03207855	0.012393151	0.3903313513575433	1	9
24	2	7	89.0672205761075	342.20778822898865	5.004323	13662	0.009161916	0.0035302239	0.15723674205996996	2	9
24	3	4	88.06879133731127	341.6636884510517	4.0507627	13355	0.05191575	0.01964311	1.1370600306203054	3	9
24	4	21	86.79402023553848	342.81364972889423	4.032612	12187	0.031000342	0.010506496	1.7168145801024075	4	9
24	5	7	88.5982274711132	343.7367707192898	4.0366163	12861	0.014891777	0.005293719	2.0266514529659596	5	9
24	6	48	87.65936800837517	344.27465683221817	5.2444377	12246	0.013946136	0.0046353396	1.082025212855028	6	9
24	7	99	88.47219583392143	346.06575636565685	5.0189147	12290	0.00039043234	0.00012065958	1.96690788108303	7	9
24	8	174	88.35256737470627	343.80079294741154	3.6933722	11878	0.0274771	0.007994355	2.268120423223533	8	9
25	0	25	112.12096927314997	367.2550515830517	4.1260247	13474	0.06594328	0.023990782	0.0	0	4
25	1	27	111.93937540054321	367.627970457077	3.6356544	12986	0.05422689	0.01894604	0.41478286026865807	1	4
25	2	100	111.79469281435013	368.1260966658592	2.9937618	12596	0.022683892	0.007023479	0.5187126088917092	2	4
25	3	57	111.48319855332375	367.80116848647594	3.4288487	12696	0.054614663	0.017801104	0.4501188691997967	3	4
26	0	26	379.45150551199913	410.9800173994154	3.5786517	12228	0.0020503865	0.0007150696	0.0	0	4
26	1	234	378.7988336235285	410.52687257528305	2.9893394	11806	0.04576962	0.012802312	0.794556999615357	1	4
26	2	392	378.87319676578045	410.9220855087042	3.2210999	11508	0.027188707	0.0075261397	0.4021481563664378	2	4
26	3	179	377.3271884918213	411.1706677377224	3.3284602	12007	0.013615561	0.0041201855	1.56586548200471	3	4
27	0	27	73.60036215186119	365.6976166963577	4.1638327	12312	0.011479298	0.004110619	0.0	0	5
27	1	2	74.07830914855003	365.0678690671921	4.382592	12895	0.047464956	0.018796867	0.7905791599097721	1	5
27	2	79	73.85623817145824	365.56275632977486	4.056868	12068	0.0055128117	0.0018275728	0.5424287248415024	2	5
27	3	32	74.80797483026981	365.7503028213978	4.1540055	12263	0.045330957	0.016059967	0.9700393570602571	3	5
27	4	542	77.7673764526844	366.1217992976308	3.1969602	11257	0.17955129	0.04384454	2.982627632575619	4	5
28	0	28	125.90718625485897	497.73397889733315	3.2449462	12331	0.01500896	0.005195514	0.0	0	6
28	1	193	125.97163480892777	497.0322233662009	3.1167936	12092	0.0018909232	0.00057944783	0.7047087636720757	1	6
28	2	54	126.00515608629212	498.0660577043891	5.207165	12095	0.014317831	0.004880409	1.0343776461491767	2	6
28	3	42	125.8071908801794	498.2314295768738	3.3996706	12273	0.026833393	0.008928506	0.25794976069060305	3	6
28	4	86	126.00837143603712	498.2801156640053	5.9999175	11731	0.015348265	0.0048581	0.20698780431560798	4	6
28	5	248	124.91568396240473	499.6951220035553	5.4874277	11601	0.013864989	0.0040250416	1.7877944109991752	5	6
29	0	29	217.24557535350323	410.89308447390795	3.410788	12446	0.0018926804	0.00067575247	0.0	0	9
29	1	24	216.92152670025826	410.32962319254875	3.6957054	12654	0.0022122539	0.0008076591	0.6499970348092574	1	9
29	2	288	216.6810153722763	411.32217386364937	4.269269	11842	0.011188534	0.0033299192	1.0212749549410896	2	9
29	3	99	217.10190588235855	411.4322975873947	3.2617874	12274	0.0035895668	0.001191522	0.43505868110961027	3	9
29	4	306	216.09453296661377	412.01893570274115	3.324819	11558	0.5441458	0.14261854	1.1657377362654757	4	9
29	5	89	216.84584890305996	413.41313219070435	3.5429714	11689	0.014807825	0.0045136274	1.5837485543503853	5	9
29	6	39	215.40391594171524	413.93366153538227	3.4285426	11829	0.0037944969	0.0012267459	1.5330105882488811	6	9
29	7	84	215.11603642255068	411.95551853626966	3.0668888	11846	0.03580855	0.010639867	1.9989808259442199	7	9
29	8	315	215.27082154154778	413.21674470603466	3.2669427	11506	0.1289015	0.03398427	1.270688744092363	8	9
30	0	30	118.25506952404976	441.61765944957733	3.555147	11713	0.014357986	0.0050123027	0.0	0	9
